日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/05/27,"2,675,006","68,531,898",25.65,25.85,25.50,25.50,+0.10,"1,456"
108/05/28,"8,273,129","208,016,775",25.65,26.00,24.60,24.60,-0.90,"2,317"
108/05/29,"6,361,156","160,314,737",24.80,25.65,24.35,25.60,+1.00,"2,972"
108/05/30,"6,102,119","157,269,894",25.60,26.00,25.55,25.70,+0.10,"2,440"
108/05/31,"4,445,406","116,095,769",25.60,26.40,25.60,26.30,+0.60,"2,178"
108/06/03,"5,170,646","137,455,420",25.90,27.05,25.65,26.90,+0.60,"2,497"
108/06/04,"10,995,489","293,272,656",27.00,27.40,26.00,26.00,-0.90,"5,377"
108/06/05,"7,414,617","193,558,926",26.35,26.50,25.80,25.80,-0.20,"3,505"
108/06/06,"5,564,827","145,266,202",26.15,26.40,25.80,26.00,+0.20,"2,986"
108/06/10,"4,856,613","127,191,223",26.45,26.45,26.05,26.15,+0.15,"3,089"
108/06/11,"3,291,090","86,541,214",26.30,26.40,26.20,26.30,+0.15,"1,770"
108/06/12,"4,291,693","113,333,987",26.40,26.60,26.25,26.30, 0.00,"2,196"
108/06/13,"9,123,320","233,811,133",26.05,26.05,25.45,25.50,-0.80,"4,299"
108/06/14,"7,753,439","198,026,600",25.65,26.00,25.20,25.20,-0.30,"3,636"
108/06/17,"4,966,373","124,735,820",25.20,25.40,24.95,24.95,-0.25,"2,813"
108/06/18,"6,468,937","164,997,122",25.05,25.75,25.05,25.70,+0.75,"3,432"
108/06/19,"10,184,093","267,224,421",26.30,26.45,26.05,26.25,+0.55,"5,229"
108/06/20,"5,363,139","140,902,740",26.25,26.40,26.15,26.30,+0.05,"2,334"
108/06/21,"10,374,355","270,819,982",26.35,26.40,25.80,26.00,-0.30,"3,137"
108/06/24,"7,227,766","191,371,732",26.25,26.70,26.10,26.60,+0.60,"3,005"
108/06/25,"11,684,185","313,149,051",26.85,27.30,26.30,26.30,-0.30,"5,002"
108/06/26,"13,022,296","339,866,284",26.30,26.55,25.90,26.15,-0.15,"4,407"
108/06/27,"14,839,924","397,632,362",26.25,27.10,26.20,26.80,+0.65,"5,989"
108/06/28,"13,544,270","364,288,883",27.10,27.15,26.55,26.80, 0.00,"5,229"
108/07/01,"29,785,130","858,942,620",28.15,29.35,27.80,29.00,+2.20,"10,340"
108/07/02,"13,054,285","377,652,039",29.00,29.20,28.70,28.95,-0.05,"5,626"
108/07/03,"13,352,719","377,588,566",29.00,29.00,28.00,28.00,-0.95,"6,221"
108/07/04,"19,555,192","563,889,268",28.30,29.15,27.85,29.00,+1.00,"8,507"
108/07/05,"17,691,027","519,885,629",29.30,29.70,28.85,29.30,+0.30,"7,617"
108/07/08,"10,916,244","320,763,032",29.30,29.65,29.10,29.25,-0.05,"4,412"
108/07/09,"7,354,751","215,683,657",29.50,29.60,29.15,29.20,-0.05,"3,581"
108/07/10,"8,157,203","240,111,901",29.50,29.65,29.25,29.40,+0.20,"3,305"
108/07/11,"17,882,903","533,338,786",29.70,30.00,29.55,30.00,+0.60,"6,972"
108/07/12,"28,754,241","891,852,551",30.25,31.45,30.25,31.10,+1.10,"12,312"
108/07/15,"17,221,555","541,712,617",31.35,31.75,31.10,31.50,+0.40,"5,965"
108/07/16,"14,061,386","442,410,709",31.70,31.85,31.15,31.40,-0.10,"5,867"
108/07/17,"26,477,507","850,132,260",31.40,32.70,31.30,32.55,+1.15,"10,127"
108/07/18,"19,005,609","586,300,893",31.20,31.40,30.30,30.30,X0.00,"8,631"
108/07/19,"29,700,097","923,136,936",30.80,31.60,30.45,30.45,+0.15,"9,975"
108/07/22,"28,015,200","895,339,244",31.30,32.40,31.15,32.30,+1.85,"12,259"
108/07/23,"22,086,442","711,300,728",32.80,32.90,31.55,32.40,+0.10,"8,983"
108/07/24,"9,455,911","303,335,702",32.40,32.45,31.70,32.05,-0.35,"4,888"
108/07/25,"15,034,168","489,224,530",32.60,32.90,32.25,32.45,+0.40,"6,170"
108/07/26,"6,167,909","200,399,102",32.45,32.65,32.15,32.50,+0.05,"3,303"
108/07/29,"7,948,600","256,072,950",32.60,32.85,31.85,32.00,-0.50,"3,615"
108/07/30,"12,274,512","394,336,830",32.00,32.60,31.65,32.45,+0.45,"5,241"
108/07/31,"12,206,673","393,105,576",32.45,32.70,31.70,32.55,+0.10,"5,048"
108/08/01,"20,138,130","664,037,644",31.85,33.55,31.85,32.90,+0.35,"7,936"
108/08/02,"13,843,595","437,657,212",31.85,32.20,31.10,31.25,-1.65,"6,021"
108/08/05,"15,014,472","469,263,948",31.25,31.90,30.80,30.90,-0.35,"5,962"
108/08/06,"19,791,351","621,255,670",30.05,32.10,30.05,32.10,+1.20,"8,943"
108/08/07,"15,568,328","498,858,121",31.95,32.60,31.60,31.75,-0.35,"6,365"
108/08/08,"19,263,333","612,343,323",31.80,32.15,31.60,31.70,-0.05,"4,200"
108/08/12,"8,832,989","283,466,881",31.90,32.30,31.65,32.15,+0.45,"3,361"
108/08/13,"10,624,832","337,427,718",31.90,32.30,31.25,31.55,-0.60,"3,707"
108/08/14,"13,094,358","415,978,489",32.10,32.25,31.10,31.10,-0.45,"3,814"
108/08/15,"53,799,918","1,758,034,063",31.10,33.60,30.95,33.25,+2.15,"19,704"
108/08/16,"49,562,391","1,705,131,895",34.30,35.20,33.70,34.25,+1.00,"18,548"
108/08/19,"21,810,652","738,899,170",34.65,34.80,33.55,33.80,-0.45,"10,133"
108/08/20,"15,744,668","531,784,070",34.15,34.40,33.30,33.45,-0.35,"7,055"
108/08/21,"47,390,260","1,617,452,351",33.65,35.05,33.30,33.95,+0.50,"18,950"
108/08/22,"28,601,940","987,173,795",34.50,34.95,33.95,34.70,+0.75,"10,874"
108/08/23,"23,884,932","826,341,469",35.00,35.45,34.05,34.05,-0.65,"9,632"
108/08/26,"11,007,895","368,439,721",33.00,33.85,32.80,33.40,-0.65,"4,990"
108/08/27,"8,383,475","283,210,403",34.00,34.15,33.40,33.40, 0.00,"3,727"
108/08/28,"15,167,549","519,626,609",34.20,34.60,33.90,34.20,+0.80,"6,141"
108/08/29,"20,435,436","707,749,033",34.80,35.10,34.30,34.50,+0.30,"8,138"
108/08/30,"13,190,544","456,041,664",35.00,35.00,34.15,34.15,-0.35,"5,122"
108/09/02,"15,214,835","529,593,432",34.40,35.30,34.35,34.80,+0.65,"6,199"
108/09/03,"6,394,354","220,473,697",34.85,34.95,34.30,34.40,-0.40,"3,370"
108/09/04,"9,013,985","309,900,168",34.30,34.65,34.20,34.35,-0.05,"4,594"
108/09/05,"31,692,601","1,116,576,828",35.45,36.90,34.60,34.60,+0.25,"12,991"
108/09/06,"23,308,508","814,919,680",34.80,35.45,34.45,34.95,+0.35,"9,023"
108/09/09,"10,600,022","369,843,552",35.30,35.45,34.55,34.70,-0.25,"4,392"
108/09/10,"7,913,080","270,032,870",34.50,34.60,33.85,34.00,-0.70,"4,052"
108/09/11,"6,667,360","227,158,390",34.35,34.40,33.75,34.10,+0.10,"3,208"
108/09/12,"9,000,470","311,990,416",34.50,34.90,34.35,34.85,+0.75,"3,782"
108/09/16,"7,355,754","253,689,481",34.90,34.95,34.30,34.40,-0.45,"3,171"
108/09/17,"14,741,428","498,210,461",34.25,34.25,33.60,33.65,-0.75,"5,525"
108/09/18,"13,736,327","466,553,309",33.75,34.20,33.70,34.05,+0.40,"4,934"
108/09/19,"11,382,308","388,114,711",34.25,34.45,33.90,34.25,+0.20,"4,315"
108/09/20,"19,631,863","679,904,755",34.35,35.00,34.05,35.00,+0.75,"7,811"
108/09/23,"42,305,122","1,530,518,486",35.70,36.90,35.30,36.60,+1.60,"16,346"
108/09/24,"39,676,974","1,494,106,321",37.10,38.20,37.00,37.45,+0.85,"16,114"
108/09/25,"22,307,589","833,819,986",37.30,37.80,36.80,37.70,+0.25,"8,549"
108/09/26,"39,019,628","1,412,708,370",37.75,37.95,35.00,35.00,-2.70,"16,420"
108/09/27,"20,118,298","702,969,771",35.25,35.65,34.10,34.85,-0.15,"9,399"
108/10/01,"12,015,993","419,974,294",35.35,35.40,34.60,34.85, 0.00,"5,355"
108/10/02,"8,848,861","309,559,585",34.75,35.30,34.40,35.20,+0.35,"4,346"
108/10/03,"14,750,009","509,252,855",34.20,34.85,34.20,34.55,-0.65,"6,535"
108/10/04,"9,707,943","338,773,205",34.80,35.10,34.50,34.95,+0.40,"4,810"
108/10/07,"16,962,608","608,025,158",35.20,36.45,35.20,35.65,+0.70,"7,898"
108/10/08,"8,258,788","295,375,842",35.95,36.00,35.50,35.60,-0.05,"3,940"
108/10/09,"8,182,035","286,114,425",35.20,35.25,34.75,35.00,-0.60,"4,312"
108/10/14,"16,057,500","580,537,711",35.55,36.75,35.50,36.00,+1.00,"6,834"
108/10/15,"9,160,182","331,643,499",36.10,36.45,36.05,36.05,+0.05,"4,122"
108/10/16,"18,531,308","674,127,872",36.20,36.90,35.70,36.45,+0.40,"8,495"
108/10/17,"20,189,241","733,368,701",36.85,37.15,35.60,35.70,-0.75,"8,655"
108/10/18,"16,219,721","582,188,378",36.10,36.50,35.55,35.80,+0.10,"5,174"
108/10/21,"9,092,135","323,405,360",35.90,36.05,35.40,35.70,-0.10,"3,992"
108/10/22,"9,264,291","332,584,328",35.90,36.20,35.70,35.70, 0.00,"3,813"
108/10/23,"14,893,855","542,308,568",35.75,36.70,35.75,36.30,+0.60,"6,532"
108/10/24,"10,497,783","383,481,165",36.60,36.80,36.20,36.75,+0.45,"4,939"
108/10/25,"7,867,854","286,268,049",36.70,36.75,36.15,36.20,-0.55,"3,682"
108/10/28,"31,340,291","1,178,776,058",36.25,38.45,36.25,38.10,+1.90,"13,067"
